precision,target_tol,actual_iterations,wall_time_ms,final_residual
float,1.000000e-04,25,1.099800,2.048362e-03
float,1.000000e-05,28,1.227700,3.122004e-04
float,1.000000e-06,37,1.692400,4.265628e-05
float,1.000000e-07,44,4.423200,2.544211e-06
float,1.000000e-08,49,2.929200,2.354351e-07
float,1.000000e-09,53,2.806300,3.642274e-08
float,1.000000e-10,58,2.854500,4.624132e-09
double,1.000000e-04,25,1.499600,2.047371e-03
double,1.000000e-05,28,2.295300,3.054754e-04
double,1.000000e-06,34,2.080300,4.950045e-05
double,1.000000e-07,39,2.722900,2.238839e-06
double,1.000000e-08,42,2.582500,3.488735e-07
double,1.000000e-09,47,2.896300,2.028695e-08
double,1.000000e-10,51,3.446500,2.372930e-09
